trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.999032936311551}",20,0,-99.96475752463155,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.998986345311762}",20,0,-75.2686142136766,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9989386588028094}",25,0,-104.03811174969843,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9988898768369872}",20,0,-98.40408413025636,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9988399994677905}",35,17,-37.71659980212598,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9987890267499161}",20,0,-82.59625544792064,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.9987369587392616}",35,0,-377.612405385825,"{0: 12, 1: 4, 2: 11, 3: 3, 4: 5}",0
49,False,"{'a': 0.5, 'e': 0.9986837954929259}",30,0,-134.0116797835104,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9986295370692089}",20,0,-197.93222140054664,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.9985741835276115}",25,0,-136.72850482277917,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.9985177349288357}",20,0,-96.83603372903164,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.998460191334784}",35,0,-340.5218315607463,"{0: 16, 1: 4, 2: 7, 3: 3, 4: 5}",0
54,False,"{'a': 0.5, 'e': 0.99840155280856}",25,0,-72.41651027908031,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.998341819414468}",25,0,-185.19777809705135,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
56,False,"{'a': 0.5, 'e': 0.9982809912180126}",25,0,-91.32592758948857,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9982190682858996}",20,0,-128.9703432563075,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.9981560506860347}",20,0,-165.22613198463768,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9980919384875245}",20,0,-27.25867947978828,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9980267317606758}",30,0,-59.08339261765969,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9979604305769955}",20,0,-139.45473464421326,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.9978930350091908}",20,0,-153.35822465102933,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9978245451311692}",25,0,-93.46920508157801,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9977549610180382}",20,0,-173.22248806880256,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9976842827461051}",30,0,-186.80317993376755,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.997612510392877}",20,0,-38.82472178001203,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9975396440370613}",20,0,-123.05508766360794,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9974656837585644}",20,0,-163.91103466838067,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9973906296384929}",20,0,-93.00596901118433,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9973144817591526}",20,0,-42.83101180443809,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9972372402040489}",20,0,-53.66462240118748,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9971589050578865}",20,0,-64.5438269756393,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9970794764065694}",25,0,-155.6276731686776,"{0: 13, 1: 0, 2: 9, 3: 2, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9969989543372005}",20,0,-29.32162523400035,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9969173389380822}",20,0,-87.26256417229224,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9968346302987154}",20,0,-115.97848068499356,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9967508285098005}",20,0,-38.19833463338846,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9966659336632359}",20,0,-85.02569589946546,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9965799458521192}",20,0,-122.06977381130385,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9964928651707464}",30,0,-152.48730668557144,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.996404691714612}",20,0,-116.35040210582629,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9963154255804089}",20,0,-176.16704044783535,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9962250668660281}",35,12,-105.61438724315767,"{0: 13, 1: 4, 2: 2, 3: 4, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.9961336156705588}",25,0,-53.566229344189345,"{0: 14, 1: 8, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9960410720942884}",20,0,-32.084679067053344,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9959474362387021}",30,0,-146.98087986211095,"{0: 19, 1: 1, 2: 5, 3: 4, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9958527082064829}",20,0,-45.62857186729995,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.9957568881015114}",20,0,-65.08274415853937,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.995659976028866}",30,0,-96.00911456715662,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.9955619720948227}",30,0,-191.04387531093013,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9954628764068543}",20,0,-44.57413328470907,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.9953626890736315}",20,0,-32.46054532397296,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.9952614102050215}",25,0,-189.82997563525117,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.9951590399120891}",20,0,-115.0905260140221,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.9950555783070955}",30,0,-183.00494660430644,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
